trueKt,trueKep,trueVe,trueVp,errKt,errKep,errVe
0.050000,0.500000,0.100000,0.005000,86400071.288635,1728001225.772843,5.000000
0.050000,0.250000,0.200000,0.005000,13.728248,-23.722380,7.138490
0.050000,0.166667,0.300000,0.005000,12.643305,-18.590592,8.280331
0.050000,0.125000,0.400000,0.005000,12.057503,-18.233371,10.107825
0.050000,0.100000,0.500000,0.005000,11.700004,-19.020619,12.245525
0.050000,0.500000,0.100000,0.010000,172800132.855723,1728001128.557324,10.000000
0.050000,0.250000,0.200000,0.010000,26.270378,-47.444769,18.464427
0.050000,0.166667,0.300000,0.010000,24.666927,-37.181196,20.475165
0.050000,0.125000,0.400000,0.010000,23.659175,-36.466756,25.299869
0.050000,0.100000,0.500000,0.010000,23.019600,-38.041255,31.395561
0.050000,0.500000,0.100000,0.050000,864000598.442764,1728000996.885536,50.000000
0.050000,0.250000,0.200000,0.050000,83.907124,-237.223789,-0.783642
0.050000,0.166667,0.300000,0.050000,98.547176,-185.905988,-46.008207
0.050000,0.125000,0.400000,0.050000,100.062503,-182.333806,-75.468106
0.050000,0.100000,0.500000,0.050000,99.881506,-190.206308,-90.952605
0.050000,0.500000,0.100000,0.100000,1728001165.610011,1728000965.610014,100.000000
0.050000,0.250000,0.200000,0.100000,49.202433,-474.447323,31.102140
0.050000,0.166667,0.300000,0.100000,135.125703,-371.811867,-6.283370
0.050000,0.125000,0.400000,0.100000,154.541559,-364.667535,-29.730908
0.050000,0.100000,0.500000,0.100000,161.721753,-380.412550,-44.951159
0.150000,1.500000,0.100000,0.005000,13.068662,9.990268,5.196401
0.150000,0.750000,0.200000,0.005000,8.122843,15.021029,2.839014
0.150000,0.500000,0.300000,0.005000,28800034.001888,1728001840.113692,1.666667
0.150000,0.375000,0.400000,0.005000,5.265447,-17.398608,2.189005
0.150000,0.300000,0.500000,0.005000,4.952773,-10.123240,2.086366
0.150000,1.500000,0.100000,0.010000,27.136343,19.980520,10.360093
0.150000,0.750000,0.200000,0.010000,16.996736,30.042047,5.599709
0.150000,0.500000,0.300000,0.010000,57600040.968316,1728001029.049532,3.333333
0.150000,0.375000,0.400000,0.010000,10.095929,-34.797227,4.879136
0.150000,0.300000,0.500000,0.010000,9.703083,-20.246491,4.448523
0.150000,1.500000,0.100000,0.050000,175.642729,99.902565,51.080629
0.150000,0.750000,0.200000,0.050000,115.025736,150.210253,26.558438
0.150000,0.500000,0.300000,0.050000,288000222.147509,1728001132.885131,16.666667
0.150000,0.375000,0.400000,0.050000,33.081030,-173.986108,2.016529
0.150000,0.300000,0.500000,0.050000,40.416822,-101.232479,-782.217877
0.150000,1.500000,0.100000,0.100000,451.188120,199.805195,101.441074
0.150000,0.750000,0.200000,0.100000,305.156711,300.420670,51.947640
0.150000,0.500000,0.300000,0.100000,576000407.256140,1728001021.768461,33.333333
0.150000,0.375000,0.400000,0.100000,22.665559,-347.972045,18.744209
0.150000,0.300000,0.500000,0.100000,60.587150,-202.464915,0.941933
0.250000,2.500000,0.100000,0.005000,11.860049,7.262675,5.084017
0.250000,1.250000,0.200000,0.005000,6.713672,5.986604,2.641149
0.250000,0.833333,0.300000,0.005000,5.089601,7.658674,1.863789
0.250000,0.625000,0.400000,0.005000,4.370715,14.886710,1.492415
0.250000,0.500000,0.500000,0.005000,17280024.882728,1728002288.273714,1.000000
0.250000,2.500000,0.100000,0.010000,24.446352,14.525326,10.157376
0.250000,1.250000,0.200000,0.010000,13.726669,11.973192,5.267204
0.250000,0.833333,0.300000,0.010000,10.434488,15.317336,3.701395
0.250000,0.625000,0.400000,0.010000,9.113598,29.773410,2.929214
0.250000,0.500000,0.500000,0.010000,34560053.106776,1728002455.339558,2.000000
0.250000,2.500000,0.100000,0.050000,151.282335,72.626552,50.522035
0.250000,1.250000,0.200000,0.050000,80.606511,59.865907,25.935772
0.250000,0.833333,0.300000,0.050000,62.383985,76.586644,17.868451
0.250000,0.625000,0.400000,0.050000,60.454697,148.867066,13.619083
0.250000,0.500000,0.500000,0.050000,172800129.096778,1728001090.967866,10.000000
0.250000,2.500000,0.100000,0.100000,375.191248,145.253117,100.734891
0.250000,1.250000,0.200000,0.100000,191.145990,119.731827,51.361642
0.250000,0.833333,0.300000,0.100000,150.296872,153.173321,35.009807
0.250000,0.625000,0.400000,0.100000,158.126213,297.734284,26.400449
0.250000,0.500000,0.500000,0.100000,345600235.757783,1728000978.788931,20.000000
0.350000,3.500000,0.100000,0.005000,11.378047,6.441262,5.048630
0.350000,1.750000,0.200000,0.005000,6.200317,4.429134,2.579018
0.350000,1.166667,0.300000,0.005000,4.529559,4.334036,1.775035
0.350000,0.875000,0.400000,0.005000,3.721644,5.169409,1.387890
0.350000,0.700000,0.500000,0.005000,3.261600,7.456595,1.165995
0.350000,3.500000,0.100000,0.010000,23.400200,12.882494,10.091707
0.350000,1.750000,0.200000,0.010000,12.622083,8.858248,5.151605
0.350000,1.166667,0.300000,0.010000,9.203582,8.668056,3.541425
0.350000,0.875000,0.400000,0.010000,7.572520,10.338804,2.762859
0.350000,0.700000,0.500000,0.010000,6.672330,14.913178,2.310446
0.350000,3.500000,0.100000,0.050000,142.765874,64.412360,50.314817
0.350000,1.750000,0.200000,0.050000,71.968618,44.291173,25.571877
0.350000,1.166667,0.300000,0.050000,51.796589,43.340227,17.455449
0.350000,0.875000,0.400000,0.050000,43.031988,51.693974,13.455987
0.350000,0.700000,0.500000,0.050000,39.326915,74.565856,11.021802
0.350000,3.500000,0.100000,0.100000,349.944098,128.824712,100.452396
0.350000,1.750000,0.200000,0.100000,166.082822,88.582343,50.875127
0.350000,1.166667,0.300000,0.100000,118.039921,86.680455,34.544647
0.350000,0.875000,0.400000,0.100000,98.987475,103.387956,26.426019
0.350000,0.700000,0.500000,0.100000,93.567012,149.131743,21.431947
0.450000,4.500000,0.100000,0.005000,11.118272,6.051603,5.032445
0.450000,2.250000,0.200000,0.005000,5.931064,3.814990,2.551782
0.450000,1.500000,0.300000,0.005000,4.245222,3.330101,1.736354
0.450000,1.125000,0.400000,0.005000,3.419748,3.407424,1.337656
0.450000,0.900000,0.500000,0.005000,2.936240,3.908485,1.105837
0.450000,4.500000,0.100000,0.010000,22.841679,12.103171,10.061384
0.450000,2.250000,0.200000,0.010000,12.052867,7.629958,5.099891
0.450000,1.500000,0.300000,0.010000,8.601440,6.660185,3.468356
0.450000,1.125000,0.400000,0.010000,6.924677,6.814833,2.669718
0.450000,0.900000,0.500000,0.010000,5.950647,7.816956,2.203999
0.450000,4.500000,0.100000,0.050000,138.414586,60.515718,50.214344
0.450000,2.250000,0.200000,0.050000,67.894233,38.149707,25.389112
0.450000,1.500000,0.300000,0.050000,47.447291,33.300857,17.206850
0.450000,1.125000,0.400000,0.050000,38.030781,34.074110,13.176057
0.450000,0.900000,0.500000,0.050000,32.880005,39.084727,10.790687
0.450000,4.500000,0.100000,0.100000,337.344852,121.031412,100.311318
0.450000,2.250000,0.200000,0.100000,154.863311,76.299402,50.609822
0.450000,1.500000,0.300000,0.100000,105.994864,66.601707,34.197752
0.450000,1.125000,0.400000,0.100000,84.580088,68.148214,26.078116
0.450000,0.900000,0.500000,0.100000,73.576955,78.169453,21.234471
0.550000,5.500000,0.100000,0.005000,10.955753,5.825497,5.023499
0.550000,2.750000,0.200000,0.005000,5.765010,3.491559,2.537165
0.550000,1.833333,0.300000,0.005000,4.072413,2.861067,1.716026
0.550000,1.375000,0.400000,0.005000,3.239173,2.706687,1.311363
0.550000,1.100000,0.500000,0.005000,2.747300,2.810404,1.073510
0.550000,5.500000,0.100000,0.010000,22.494025,11.650954,10.044543
0.550000,2.750000,0.200000,0.010000,11.704585,6.983092,5.071902
0.550000,1.833333,0.300000,0.010000,8.240186,5.722115,3.429379
0.550000,1.375000,0.400000,0.010000,6.546007,5.413358,2.619574
0.550000,1.100000,0.500000,0.010000,5.550805,5.620793,2.143107
0.550000,5.500000,0.100000,0.050000,135.771843,58.254603,50.157120
0.550000,2.750000,0.200000,0.050000,65.505942,34.915365,25.285074
0.550000,1.833333,0.300000,0.050000,45.015628,28.610501,17.061423
0.550000,1.375000,0.400000,0.050000,35.436687,27.066728,12.995981
0.550000,1.100000,0.500000,0.050000,30.002319,28.103910,10.589950
0.550000,5.500000,0.100000,0.100000,329.798225,116.509168,100.229689
0.550000,2.750000,0.200000,0.100000,148.469550,69.830713,50.452931
0.550000,1.833333,0.300000,0.100000,99.568082,57.220990,33.979173
0.550000,1.375000,0.400000,0.100000,77.640049,54.133445,25.817767
0.550000,1.100000,0.500000,0.100000,65.625417,56.207811,20.967620
