FitMethod,sigmaC,TemporalRes,TrueRelKt,TrueRelVe,TrueKep,TrueVp,errKt,errVe,errKep,errVp,stdErrKt,stdErrVe,stdErrKep,stdErrVp,meanResid,stdResid,fracImag
ETM,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,0.002960,-0.000307,0.003267,-0.130700,0.019997,0.000052,0.019946,1.856694,NaN,NaN,0.000000
ERTM,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,0.006675,-0.002044,0.008719,0.173842,0.000051,0.000003,0.000054,0.005159,NaN,NaN,0.000000
CERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.000397,-0.000143,-0.000482,0.060888,0.000168,0.000098,0.000071,0.046482,NaN,NaN,0.000000
ERRM,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.000378,-0.000141,-0.000388,0.059222,0.000251,0.000101,0.000497,0.053971,NaN,NaN,0.000000
CERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.000397,-0.000143,-0.000482,0.060888,0.000168,0.000098,0.000071,0.046482,NaN,NaN,0.000000
ERRM-NN,0.000000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.000378,-0.000141,-0.000388,0.059222,0.000251,0.000101,0.000497,0.053971,NaN,NaN,0.000000
ETM,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,0.068943,-0.009077,0.077999,-1.775203,0.145396,0.027524,0.121058,8.418578,NaN,NaN,0.000000
ERTM,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,0.133497,-0.039866,0.173432,3.276556,0.001220,0.000384,0.001109,0.141767,NaN,NaN,0.000000
CERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,-0.009232,-0.003338,-0.008918,1.450742,0.000693,0.000413,0.000286,0.198871,NaN,NaN,0.000000
ERRM,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,-0.009215,-0.003347,-0.008835,1.449172,0.000981,0.000470,0.001769,0.224492,NaN,NaN,0.000000
CERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,-0.009232,-0.003338,-0.008918,1.450742,0.000693,0.000413,0.000286,0.198871,NaN,NaN,0.000000
ERRM-NN,0.000000,5.000000,3.571429,2.857143,0.625000,0.001000,-0.009215,-0.003347,-0.008835,1.449172,0.000981,0.000470,0.001769,0.224492,NaN,NaN,0.000000
ETM,0.000000,10.000000,3.571429,2.857143,0.625000,0.001000,0.342622,-0.240506,0.477104,103.364309,9.454451,1.978546,7.963611,803.086041,NaN,NaN,0.000000
ERTM,0.000000,10.000000,3.571429,2.857143,0.625000,0.001000,0.405445,-0.103296,0.509252,5.347343,0.086502,0.030561,0.059342,16.047863,NaN,NaN,0.000000
CERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.001000,-0.035495,-0.012953,-0.030181,5.696457,0.061119,0.031673,0.033716,14.966917,NaN,NaN,0.000000
ERRM,0.000000,10.000000,3.571429,2.857143,0.625000,0.001000,-0.035463,-0.012821,-0.030024,5.706576,0.100699,0.042531,0.250485,17.391669,NaN,NaN,0.000000
CERRM-NN,0.000000,10.000000,3.571429,2.857143,0.625000,0.001000,-0.035495,-0.012953,-0.030181,5.696457,0.061119,0.031673,0.033716,14.966917,NaN,NaN,0.000000
