FitMethod,TemporalRes,sigmaC,errKt,errVe,errKep,errVp,stdKt,stdVe,stdKep,stdVp
ETM,1.000000,0.000000,0.008916,-0.000387,0.009304,-0.007859,0.038775,0.003581,0.041743,0.209690
ERTM,1.000000,0.000000,-0.261655,-0.100757,-0.161246,0.540913,0.378354,0.207746,0.251901,0.314145
RTM,1.000000,0.000000,56.160737,16.215661,30.071883,NaN,78.110539,24.373899,39.325384,NaN
ERRM,1.000000,0.000000,7.585222,7.581502,-21.180915,0.054248,72.533508,72.580642,224.941689,0.185819
CERRM,1.000000,0.000000,-0.006398,-0.003996,-0.001798,0.048899,0.028460,0.018681,0.021019,0.144060
TM,1.000000,0.000000,56.105763,16.217289,30.033971,NaN,78.018437,24.374236,39.299740,NaN
RRM,1.000000,0.000000,-36.689334,9.491460,1144.692732,NaN,18817.394737,78.400572,56735.549687,NaN
CRRM,1.000000,0.000000,63.274143,16.435067,39.184467,NaN,89.613985,24.673054,44.219508,NaN
ETM-NN,1.000000,0.000000,0.008916,-0.000387,0.009304,-0.007859,0.038775,0.003581,0.041743,0.209690
ERTM-NN,1.000000,0.000000,-0.261655,-0.100757,-0.161246,0.540913,0.378354,0.207746,0.251901,0.314145
RTM-NN,1.000000,0.000000,56.160737,16.215661,30.071883,NaN,78.110539,24.373899,39.325384,NaN
ERRM-NN,1.000000,0.000000,0.517986,-6.227412,-2.721694,0.058972,13.754399,24.156308,67.945989,0.183501
CERRM-NN,1.000000,0.000000,-0.006848,-0.004156,-0.002194,0.050703,0.029045,0.018861,0.021257,0.147351
TM-NN,1.000000,0.000000,56.105763,16.217289,30.033971,NaN,78.018437,24.374236,39.299740,NaN
ETM,2.000000,0.000000,0.033863,-0.001674,0.035542,-0.035528,0.083721,0.007106,0.089049,0.406191
ERTM,2.000000,0.000000,-0.998951,-0.385751,-0.618467,2.055635,1.453040,0.805766,0.964493,1.227927
RTM,2.000000,0.000000,56.351938,16.209390,30.209212,NaN,78.390923,24.372475,39.403366,NaN
ERRM,2.000000,0.000000,6.611026,6.598178,-25.282686,0.230489,59.719679,59.799059,189.860175,0.702776
CERRM,2.000000,0.000000,-0.028546,-0.016473,-0.010490,0.210493,0.096837,0.053293,0.058853,0.572003
TM,2.000000,0.000000,56.148469,16.215281,30.067335,NaN,78.064226,24.374406,39.311735,NaN
RRM,2.000000,0.000000,27.120402,9.243324,-106.524456,NaN,2650.433251,82.113005,8094.076039,NaN
CRRM,2.000000,0.000000,62.717999,16.420108,38.499422,NaN,88.643368,24.652466,43.787744,NaN
ETM-NN,2.000000,0.000000,0.033863,-0.001674,0.035542,-0.035528,0.083721,0.007106,0.089049,0.406191
ERTM-NN,2.000000,0.000000,-0.998951,-0.385751,-0.618467,2.055635,1.453040,0.805766,0.964493,1.227927
RTM-NN,2.000000,0.000000,56.351938,16.209390,30.209212,NaN,78.390923,24.372475,39.403366,NaN
ERRM-NN,2.000000,0.000000,-0.156254,-6.604020,1.778584,0.237460,13.879564,24.242779,71.334022,0.699927
CERRM-NN,2.000000,0.000000,-0.029187,-0.016701,-0.011055,0.213069,0.097888,0.053672,0.059384,0.576971
TM-NN,2.000000,0.000000,56.148469,16.215281,30.067335,NaN,78.064226,24.374406,39.311735,NaN
