FitMethod,TemporalRes,sigmaC,q5Kt,q25Kt,q50Kt,q75Kt,q95Kt,q5Ve,q25Ve,q50Ve,q75Ve,q95Ve,q5Kep,q25Kep,q50Kep,q75Kep,q95Kep,q5Vp,q25Vp,q50Vp,q75Vp,q95Vp
ETM,1.000000,0.000000,-0.041130,-0.015586,0.002890,0.027279,0.080653,-0.006197,-0.001023,-0.000319,0.000559,0.005257,-0.045088,-0.017032,0.003721,0.029974,0.085330,-0.370464,-0.048373,-0.000192,0.034697,0.346969
ERTM,1.000000,0.000000,-1.079453,-0.363658,-0.130809,-0.012395,0.055906,-0.462022,-0.150932,-0.028996,-0.007412,0.085473,-0.794520,-0.227171,-0.079252,-0.000540,0.057805,0.017153,0.557334,0.600585,0.681533,0.789626
RTM,1.000000,0.000000,2.753124,5.823534,22.980834,66.486917,264.767026,-4.660986,1.667673,6.692317,23.782809,71.504052,1.599236,3.845955,14.559919,38.271344,109.529826,NaN,NaN,NaN,NaN,NaN
CERRM,1.000000,0.000000,-0.060687,-0.011401,-0.001923,0.002154,0.028105,-0.040377,-0.006762,-0.001036,0.000952,0.018334,-0.031157,-0.002879,-0.000188,0.002292,0.018910,-0.077460,-0.026003,0.021306,0.069190,0.292727
ERRM,1.000000,0.000000,-0.174029,-0.016277,-0.002319,0.010680,9.814199,-0.116101,-0.009638,-0.001091,0.005068,9.815411,-94.827498,-0.011907,-0.001969,0.004700,0.067254,-0.108458,-0.043935,0.014996,0.079721,0.388398
TM,1.000000,0.000000,2.755235,5.816577,22.980423,66.465417,264.286259,-4.661753,1.670945,6.692111,23.785457,71.501688,1.590155,3.843089,14.533332,38.258737,109.428276,NaN,NaN,NaN,NaN,NaN
RRM,1.000000,0.000000,2.746059,8.234781,26.278111,99.884726,450.747824,-18.000174,2.544526,10.023205,25.693798,75.436701,-475.689203,2.705157,11.620584,66.513398,1576.092887,NaN,NaN,NaN,NaN,NaN
CRRM,1.000000,0.000000,3.663525,7.858369,27.447092,69.535842,294.474240,-6.294205,2.013458,6.631571,24.100087,72.180384,5.856200,9.332133,21.191039,48.687838,152.745178,NaN,NaN,NaN,NaN,NaN
ETM,2.000000,0.000000,-0.049765,-0.022678,0.011510,0.061620,0.197639,-0.014548,-0.002629,-0.001277,0.000770,0.008618,-0.053321,-0.023650,0.012697,0.066454,0.208294,-0.710945,-0.119914,-0.018133,0.050848,0.638904
ERTM,2.000000,0.000000,-4.319639,-1.375773,-0.500034,-0.046461,0.217076,-1.756925,-0.573554,-0.109654,-0.028231,0.333947,-3.008613,-0.884550,-0.300459,-0.001135,0.212826,0.017364,2.119304,2.274761,2.595088,3.046976
