FitMethod,TemporalRes,errKt,errVe,errKep,errVp,qt25Kt,qt75Kt,qt25Ve,qt75Ve,qt25Kep,qt75Kep,qt25Vp,qt75Vp
ETM,5.385000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RRM,5.385000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,NaN
CERRM,5.385000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ETM,10.770000,0.240913,-0.094347,0.158643,-0.340755,-3.940591,4.445142,-3.875761,3.303280,-6.355261,6.211148,-14.406529,13.523506
RRM,10.770000,1.086832,1.017761,-6.230298,NaN,-4.318322,6.517470,-2.531421,4.882874,-12.047771,-0.224680,NaN,NaN
CERRM,10.770000,1.086832,1.017761,-6.230298,-1.679062,-4.318322,6.517470,-2.531421,4.882874,-12.047771,-0.224680,-20.803761,16.351680
ETM,16.156000,-10.680032,1.434094,-15.762731,-4.539601,-26.753843,6.349009,-10.294203,10.532471,-40.641259,6.606426,-32.726874,109.153788
RRM,16.156000,2.044267,1.663220,-9.081130,NaN,-6.137851,9.537494,-4.170603,7.540427,-18.363231,-0.512145,NaN,NaN
CERRM,16.156000,2.044267,1.663220,-9.081130,-3.594777,-6.137851,9.537494,-4.170603,7.540427,-18.363231,-0.512145,-34.363177,28.453879
ETM,21.542000,-22.826125,3.349560,-31.754003,14.067886,-41.271531,-12.867719,-21.340378,16.513850,-56.011243,-16.635558,-28.867541,195.284437
RRM,21.542000,1.277342,1.445613,-7.776782,NaN,-10.055254,12.317945,-6.726248,8.827139,-19.606181,3.254756,NaN,NaN
CERRM,21.542000,1.277342,1.445613,-7.776782,-3.419776,-10.055254,12.317945,-6.726248,8.827139,-19.606181,3.254756,-57.826621,47.211687
ETM,26.927000,-27.219837,1.909059,-36.347271,81.028196,-45.145570,-15.558499,-27.327799,19.124103,-60.128043,-19.071791,-31.040725,196.841606
RRM,26.927000,2.682319,2.100504,-10.371070,NaN,-11.465193,17.012189,-7.386864,10.634839,-26.161672,2.761010,NaN,NaN
CERRM,26.927000,2.682319,2.100504,-10.371070,-8.034206,-11.465193,17.012189,-7.386864,10.634839,-26.161672,2.761010,-69.232338,51.681371
ETM,32.313000,-30.156848,0.690740,-40.246743,100.528413,-48.824921,-14.870477,-32.493642,20.358767,-68.549941,-17.444358,-30.876412,195.736087
RRM,32.313000,2.296948,1.517476,-6.021552,NaN,-13.414679,17.623955,-9.224103,10.819332,-23.792886,9.484157,NaN,NaN
CERRM,32.313000,2.296948,1.517476,-6.021552,-19.501405,-13.414679,17.623955,-9.224103,10.819332,-23.792886,9.484157,-73.830367,55.616634
ETM,37.699000,-35.169000,-5.816060,-43.630080,117.551921,-53.436054,-14.480327,-45.252632,20.132004,-71.073738,-13.797867,-26.316072,226.039375
RRM,37.699000,5.672761,2.307182,-1.736306,NaN,-11.635497,19.481791,-10.163319,11.689256,-21.888390,13.569330,NaN,NaN
CERRM,37.699000,5.672761,2.307182,-1.736306,-33.572481,-11.635497,19.481791,-10.163319,11.689256,-21.888390,13.569330,-79.598467,51.502797
ETM,43.084000,-29.688112,-6.985444,-35.545104,119.289634,-51.222334,-9.180128,-40.179449,15.439427,-66.339110,-7.996498,-3.020484,217.996527
RRM,43.084000,4.769200,0.572861,9.012529,NaN,-9.084282,21.142806,-10.039200,10.670470,-9.008721,27.469935,NaN,NaN
CERRM,43.084000,4.769200,0.572861,9.012529,-34.241720,-9.084282,21.142806,-10.039200,10.670470,-9.008721,27.469935,-81.500019,23.346261
ETM,48.469000,-27.130545,-9.157099,-33.757954,128.548430,-53.024528,-8.813002,-44.329278,12.257535,-69.395434,-6.849413,23.049833,230.331196
RRM,48.469000,7.706945,1.110770,16.298486,NaN,-6.948139,24.964842,-10.422924,11.413938,-4.211812,37.886185,NaN,NaN
CERRM,48.469000,7.706945,1.110770,16.298486,-43.146808,-6.948139,24.964842,-10.422924,11.413938,-4.211812,37.886185,-87.371486,0.584392
ETM,53.855000,-29.721185,-11.904166,-35.834650,142.520282,-55.419890,-9.985496,-54.803776,11.577994,-71.646613,-5.872497,28.446223,252.623887
RRM,53.855000,8.056258,0.600323,20.639677,NaN,-7.190254,25.944625,-11.198925,12.016572,-0.443889,42.253392,NaN,NaN
CERRM,53.855000,8.056258,0.600323,20.639677,-50.118411,-7.190254,25.944625,-11.198925,12.016572,-0.443889,42.253392,-94.783906,0.551338
ETM,59.240000,-32.114500,-15.474307,-39.363394,148.759395,-57.707780,-9.494553,-62.882922,11.867741,-78.344619,-2.756119,36.146886,267.241603
RRM,59.240000,7.591623,-0.580180,31.226154,NaN,-8.898283,27.615343,-14.048089,11.787403,6.183662,56.579149,NaN,NaN
CERRM,59.240000,7.591623,-0.580180,31.226154,-57.042571,-8.898283,27.615343,-14.048089,11.787403,6.183662,56.579149,-98.077430,-5.799557
ETM,64.625000,-31.122410,-17.293933,-37.733698,161.800747,-57.596012,-7.883671,-64.009687,11.396875,-77.145521,0.352136,39.563059,279.757643
RRM,64.625000,9.612346,-0.065798,32.327715,NaN,-9.250221,30.846699,-14.559870,13.530304,5.592758,62.319097,NaN,NaN
CERRM,64.625000,9.612346,-0.065798,32.327715,-66.336304,-9.250221,30.846699,-14.559870,13.530304,5.592758,62.319097,-102.702390,-9.353907
